Voltage_True (V),Current True (A),Power True (W),Voltage Read (V),Current Read (A),Power Read (W)
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.44
16.999,0.551,9.376,17.06,0.55,9.45
16.999,0.551,9.376,17.06,0.55,9.45
16.999,0.551,9.376,17.06,0.55,9.45
16.999,0.551,9.376,17.06,0.55,9.45
16.999,0.551,9.376,17.06,0.55,9.45
16.999,0.551,9.376,17.06,0.55,9.45
16.999,0.551,9.376,17.06,0.55,9.45
16.999,0.551,9.376,17.06,0.55,9.45
16.999,0.551,9.376,17.06,0.55,9.45
16.999,0.551,9.376,17.06,0.55,9.45
16.999,0.551,9.376,17.06,0.55,9.45
16.999,0.551,9.376,17.06,0.55,9.45
16.999,0.551,9.376,17.06,0.55,9.45
16.999,0.551,9.376,17.06,0.55,9.45
16.999,0.551,9.376,17.06,0.55,9.45
16.999,0.551,9.376,17.06,0.55,9.45
16.999,0.551,9.376,17.06,0.55,9.45
16.999,0.551,9.376,17.06,0.55,9.45
16.999,0.551,9.376,17.06,0.55,9.45
16.999,0.551,9.376,17.06,0.55,9.45
16.999,0.551,9.376,17.06,0.55,9.45
16.999,0.551,9.376,17.06,0.55,9.45
16.999,0.551,9.376,17.06,0.55,9.45
16.999,0.551,9.376,17.06,0.55,9.45
16.999,0.551,9.376,17.06,0.55,9.45
16.999,0.551,9.376,17.06,0.55,9.45
16.999,0.551,9.376,17.06,0.55,9.45
16.999,0.551,9.376,17.06,0.55,9.45
16.999,0.551,9.376,17.06,0.55,9.45
16.999,0.551,9.376,17.06,0.55,9.45
16.999,0.551,9.376,17.06,0.55,9.45
16.999,0.551,9.376,17.06,0.55,9.45
17.998,0.584,10.520,18.07,0.59,10.61
17.998,0.584,10.520,18.07,0.59,10.61
17.998,0.584,10.520,18.07,0.59,10.61
17.998,0.584,10.520,18.07,0.59,10.61
17.998,0.584,10.520,18.07,0.59,10.61
17.998,0.584,10.520,18.07,0.59,10.61
17.998,0.584,10.520,18.07,0.59,10.61
17.998,0.584,10.520,18.07,0.59,10.61
17.998,0.584,10.520,18.07,0.59,10.61
17.998,0.584,10.520,18.07,0.59,10.61
17.998,0.584,10.520,18.07,0.59,10.61
17.998,0.584,10.520,18.07,0.59,10.61
17.998,0.584,10.520,18.07,0.59,10.61
17.998,0.584,10.520,18.07,0.59,10.61
17.998,0.584,10.520,18.07,0.59,10.61
17.998,0.584,10.520,18.07,0.59,10.61
17.998,0.584,10.520,18.07,0.59,10.61
17.998,0.584,10.520,18.07,0.59,10.61
17.998,0.584,10.520,18.07,0.59,10.61
17.998,0.584,10.520,18.07,0.59,10.61
17.998,0.584,10.520,18.07,0.59,10.61
17.998,0.584,10.520,18.07,0.59,10.61
17.998,0.584,10.520,18.07,0.59,10.61
17.998,0.584,10.520,18.07,0.59,10.61
17.998,0.584,10.520,18.06,0.59,10.61
17.998,0.584,10.520,18.06,0.59,10.61
17.998,0.584,10.520,18.06,0.59,10.61
17.998,0.584,10.520,18.07,0.59,10.61
17.998,0.584,10.520,18.06,0.59,10.61
17.998,0.584,10.520,18.06,0.59,10.61
